Set,Bonafide Or Spoof,Language,Singer,Title,Model,Url
Training,bonafide,Mandarin,Bella_Yao,【姚贝娜】《我用所有报答爱》,N/A,https://www.bilibili.com/video/BV1DF411F7vn/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【姚贝娜】最靓《小头发》现场，没错我就是来听歌的。。。,N/A,https://www.bilibili.com/video/BV16Y411J7r3/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【4K 60fps】姚贝娜 - 御龙吟 4K修复版 官方版MV（网游《御龙在天》插曲 宣传版）,N/A,https://www.bilibili.com/video/BV1hU4y1o7x1/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【4K 60fps】姚贝娜 - 生命的河 4K 修复纯人声版,N/A,https://www.bilibili.com/video/BV1xW4y1Y7sH/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Bella_Yao,【姚贝娜】《心火》湖北卫视新年环球狂欢夜2014,N/A,https://www.bilibili.com/video/BV1ae4y127ao/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Bella_Yao,“给岁月以文明，给时光以生命。” 独唱纯享版 AiBella翻唱《歌者》,DiffSinger,https://www.bilibili.com/video/BV1iM4y1Y75q/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Bella_Yao,【AI姚贝娜】“我愿投身前途未卜的群星。”偷跑一小小小小段《夜航星》,DiffSinger,https://www.bilibili.com/video/BV1vV4y1B7Le/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Bella_Yao,【AI 姚贝娜】《人是_》cover 周深 （用AI為她譜寫33歲之後的人生，讓更多人知道聽到她的聲音。逝者已矣，生者如斯，音容犹在，AI重生）,Sovits4.0,https://www.youtube.com/watch?v=DyAmaELdJag&list=PLqil1-qewx9jkv_7bcLfVvj05wFneBCyZ
Training,spoof,Mandarin,Bella_Yao,【AI姚贝娜】斯人归来，天涯尽处。翻唱《独立寒江•曲无忆》,DiffSinger,https://www.bilibili.com/video/BV1E24y1t7nh/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Bella_Yao,【AI姚贝娜】相思算什么，早无人在意。翻唱《相思》,DiffSinger,https://www.bilibili.com/video/BV1oM411p7V6/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Bella_Yao,【Ai姚贝娜】“我曾将青春翻涌成她。”翻唱《起风了》+大版本更新,DiffSinger,https://www.bilibili.com/video/BV1Qh4y1t7He/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Bella_Yao,【AI姚贝娜】“你问我死后会去哪里，有没有人爱你。”翻唱《海底》,DiffSinger,https://www.bilibili.com/video/BV1Dk4y1e7Bn/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Bella_Yao,【AI翻唱 不是“姚贝娜”】《让她降落》（至少让她降落在你怀中。逝者已矣，生者如斯，音容犹在，AI重生）,Sovits4.0,https://www.youtube.com/watch?v=9fGL5fCT9Bs&list=PLqil1-qewx9jkv_7bcLfVvj05wFneBCyZ&index=3
Training,spoof,Mandarin,Bella_Yao,【AI姚贝娜】“至少让她降落在你怀中。”翻唱《让她降落》,DiffSinger,https://www.bilibili.com/video/BV1JV4y1R7ZG/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Bella_Yao,【AI姚贝娜】小娜 - 小幸运 Cover原唱：田馥甄 电影《我的少女时代》主题曲,Sovits4.0,https://www.bilibili.com/video/BV1AL411B7UM/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Bella_Yao,【AI 姚贝娜】《海底》cover 一支榴莲 （你问我死后会去哪里，有没有人爱你）,Sovits4.0,https://www.youtube.com/watch?v=W_RAkIRDfJ4&list=PLqil1-qewx9jkv_7bcLfVvj05wFneBCyZ&index=2
Training,spoof,Mandarin,Bella_Yao,【AI翻唱 “姚贝娜”】《起风了》副歌部分無敵 - “我曾将青春翻涌成她。” 《逝者已矣，生者如斯，音容犹在，AI重生》,Sovits4.0,https://www.youtube.com/watch?v=DUgVh_q0X9c&list=PLqil1-qewx9jkv_7bcLfVvj05wFneBCyZ&index=4
Training,spoof,Mandarin,Bella_Yao,【AI姚贝娜】“我想给她完整的一生。“《人是_》翻唱, diffsinger,https://www.bilibili.com/video/BV18L411R7sj/?spm_id_from=333.337.search-card.all.click
Training,bonafide,Mandarin,Chang_Chen-yue,破吉他,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=16
Training,bonafide,Mandarin,Chang_Chen-yue,秘密,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=6
Training,bonafide,Mandarin,Chang_Chen-yue,抱着你,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=13
Training,bonafide,Mandarin,Chang_Chen-yue,离开,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=8
Training,bonafide,Mandarin,Chang_Chen-yue,超大行李,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=17
Training,bonafide,Mandarin,Chang_Chen-yue,干妹妹,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=15
Training,bonafide,Mandarin,Chang_Chen-yue,自由,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=7
Training,bonafide,Mandarin,Chang_Chen-yue,爱我别走,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=4
Training,bonafide,Mandarin,Chang_Chen-yue,分手吧,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=9
Training,bonafide,Mandarin,Chang_Chen-yue,再见Hip-Hop,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=10
Training,bonafide,Mandarin,Chang_Chen-yue,有一天,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=11
Training,bonafide,Mandarin,Chang_Chen-yue,路口,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=14
Training,bonafide,Mandarin,Chang_Chen-yue,小宇,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=5
Training,bonafide,Mandarin,Chang_Chen-yue,就是喜欢你,N/A,https://www.bilibili.com/video/BV14P4y1q7sG?p=12
Training,spoof,Mandarin,Chang_Chen-yue,【AI张震岳】《寂寞的季节》陶喆,unknown,https://www.bilibili.com/video/BV1WV4y1v7wD/?spm_id_from=333.337.search-card.all.click
Training,spoof,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《温柔》,unknown,https://www.bilibili.com/video/BV1ss4y1U7Ph/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《普通朋友》,unknown,https://www.bilibili.com/video/BV1Q84y1g7L4/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《夜夜夜夜》,unknown,https://www.bilibili.com/video/BV1nm4y187zY/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《二十二》,unknown,https://www.bilibili.com/video/BV1PY4y1D7hx/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《淘汰》,unknown,https://www.bilibili.com/video/BV1ZV4y1f7W6/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《未接来电》,unknown,https://www.bilibili.com/video/BV1ZL411Y7re/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《流沙》,unknown,https://www.bilibili.com/video/BV1x84y1g78H/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Chang_Chen-yue,【AI张震岳】一念之间-陶喆,unknown,https://www.bilibili.com/video/BV1cM411u78h/?spm_id_from=333.337.search-card.all.click
Training,spoof,Mandarin,Chang_Chen-yue,「 AI 翻唱 」张震岳 - 《寂寞的季节》,unknown,https://www.bilibili.com/video/BV1to4y1n74V/?spm_id_from=333.999.0.0&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Hebe_Tien,【4K珍藏】田馥甄《小幸运》我的少女时代版！,N/A,https://www.bilibili.com/video/BV1QL4y1t7z4/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,【官方MV】田馥甄-皆可,N/A,https://www.bilibili.com/video/BV1az4y1f7jz/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [還是要幸福 Still in Happiness] Official MV,N/A,https://www.youtube.com/watch?v=1CcQDuuhdXA
Training,bonafide,Mandarin,Hebe_Tien,懸日,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=20
Training,bonafide,Mandarin,Hebe_Tien,你就不要想起我,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=7
Training,bonafide,Mandarin,Hebe_Tien,【官方MV】田馥甄-先知,N/A,https://www.bilibili.com/video/BV17V411U7hE/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ TO HEBE ] Official Music Video,N/A,https://www.youtube.com/watch?v=Y-l8vok_tUE
Training,bonafide,Mandarin,Hebe_Tien,【官方MV】田馥甄-一一,N/A,https://www.bilibili.com/video/BV1E5411h7xt/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,【官方MV】田馥甄-底里歇斯,N/A,https://www.bilibili.com/video/BV1iz4y1U77u/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,【田馥甄hebe】爱着爱着就永远（2023.08.05一一台北场演唱会）,N/A,https://www.bilibili.com/video/BV13V411V77R/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 小幸運 官方Live版 A Little Happiness] LIVE Version (如果 田馥甄巡迴演唱會),N/A,https://www.youtube.com/watch?v=CFTZSSJyy7A
Training,bonafide,Mandarin,Hebe_Tien,我对不起我,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=8
Training,bonafide,Mandarin,Hebe_Tien,終身大事,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=21
Training,bonafide,Mandarin,Hebe_Tien,HEBE TIEN 田馥甄 [你就不要想起我 You Better Not Think About Me] Official MV HD,N/A,https://www.youtube.com/watch?v=GsKbnsUN2RE
Training,bonafide,Mandarin,Hebe_Tien,【Official MV】一周的朋友 - 田馥甄,N/A,https://www.bilibili.com/video/BV1ZL4y1P7uu/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [MY LOVE] Official MV HD,N/A,https://www.youtube.com/watch?v=t3r7a_7LqRA
Training,bonafide,Mandarin,Hebe_Tien,HEBE TIEN 田馥甄 [不醉不會 Learning From Drunk ] Official MV HD,N/A,https://www.youtube.com/watch?v=7gQxgKaiPzk
Training,bonafide,Hokkien,Hebe_Tien,"田馥甄 Hebe Tien《有無 To Have, or Not To Have》Official Live MV",N/A,https://www.youtube.com/watch?v=HQ7v1uwFTUw
Training,bonafide,Mandarin,Hebe_Tien,你太猖狂,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=6
Training,bonafide,Mandarin,Hebe_Tien,【官方MV】田馥甄-人什么的最麻烦了,N/A,https://www.bilibili.com/video/BV1Th411m7zd/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 看淡 As it is ] (電視劇「一把青」片頭曲) Official Music Video,N/A,https://www.youtube.com/watch?v=XqCu-t8YWr4
Training,bonafide,Mandarin,Hebe_Tien,田馥甄（Hebe）好听的单曲《MY LOVE》.,N/A,https://www.bilibili.com/video/BV1Wx411P7B8/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 愛了很久的朋友 ] Official Music Video (電影『後來的我們』插曲),N/A,https://www.youtube.com/watch?v=mJwyo5fH3jY
Training,bonafide,Mandarin,Hebe_Tien,只对你有感觉,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=5
Training,bonafide,Mandarin,Hebe_Tien,180608【田馥甄Hebe】《旧梦》,N/A,https://www.bilibili.com/video/BV13W411w7sm/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,不醉不会,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=4
Training,bonafide,Mandarin,Hebe_Tien,【4K】田馥甄-或是一首歌,N/A,https://www.bilibili.com/video/BV1Dp4y1v7qa/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,【田馥甄】《不醉不会》(2013年)[高清MV1080P],N/A,https://www.bilibili.com/video/BV1Jx411V7Es/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,还是要幸福,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=11
Training,bonafide,Mandarin,Hebe_Tien,【田馥甄】终身大事-2014 Live「2GETHER 4EVER ENCORE影音館」,N/A,https://www.bilibili.com/video/BV1os411B7NN/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 獨善其身 Love Yourself ] Official Music Video,N/A,https://www.youtube.com/watch?v=6V9iNXXol1Q
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 日常 Day by day ] Official Music Video,N/A,https://www.youtube.com/watch?v=3dBFK2fHjWg
Training,bonafide,Mandarin,Hebe_Tien,【官方MV】田馥甄 - 讽刺的情书,N/A,https://www.bilibili.com/video/BV1Hi4y1u7am/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,小幸运,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=2
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [寂寞寂寞就好 Leave Me Alone] Official MV,N/A,https://www.youtube.com/watch?v=DyFIzKYQQYE
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [ 靈魂伴侶 Soul Mate ] Official Music Video,N/A,https://www.youtube.com/watch?v=oKIBJJW8neU
Training,bonafide,Mandarin,Hebe_Tien,【官方MV】田馥甄-田,N/A,https://www.bilibili.com/video/BV13z4y1U7YU/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,魔鬼中的天使,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=18
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien《乘著無人光影的遠行 Glimpses of a Journey》Official Music Video,N/A,https://www.youtube.com/watch?v=iHm7YCMbw0w
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien《一周的朋友》Official Music Video（電影【一周的朋友】主題曲）,N/A,https://www.youtube.com/watch?v=NbX4ZHSuCsg
Training,bonafide,Mandarin,Hebe_Tien,【MV】【田馥甄】你太猖狂 官方高清MV,N/A,https://www.bilibili.com/video/BV1Ss411S7bJ/?spm_id_from=333.337.search-card.all.click
Training,bonafide,Mandarin,Hebe_Tien,【首播】田馥甄 - [ 日常 ] - 官方MV,N/A,https://www.bilibili.com/video/BV1cs41187or/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,身體都知道,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=19
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 - 要死就一定要死在你手里【梦想的声音】,N/A,https://www.bilibili.com/video/BV1Wx411n74G/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,【4K高清修复】Hebe 田馥甄 - 囚鸟 Live (一定要看到最后的Talking) 2160P Hi-Res,N/A,https://www.bilibili.com/video/BV17m4y1n7qQ/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [我想我不會愛你 I Don't Think I Am In Love With You] Official MV,N/A,https://www.youtube.com/watch?v=jmvsxBwpnIQ
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 摯友 这一唱 唱到谁心里去,N/A,https://www.bilibili.com/video/BV1z8411o7Uu/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,bonafide,Mandarin,Hebe_Tien,HEBE TIEN 田馥甄 [愛著愛著就永遠 Forever Love] Official MV HD,N/A,https://www.youtube.com/watch?v=fJWN7wtvaJ0
Training,bonafide,Mandarin,Hebe_Tien,寂寞寂寞就好,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=15
Training,bonafide,Mandarin,Hebe_Tien,我想我不会爱你,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=9
Training,bonafide,Mandarin,Hebe_Tien,【官方MV】田馥甄-悬日,N/A,https://www.bilibili.com/video/BV1qp4y1v7Rn/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 Hebe Tien [你太猖狂 Missing You] Official MV,N/A,https://www.youtube.com/watch?v=EMBg0leN5vs
Training,bonafide,Mandarin,Hebe_Tien,【首播】田馥甄 - 灵魂伴侣 - 官方MV,N/A,https://www.bilibili.com/video/BV18s411k7K3/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,【4K珍藏】田馥甄《爱了很久的朋友》，撩苏我了!,N/A,https://www.bilibili.com/video/BV1w44y1s7Xe/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄Hebe Tien [魔鬼中的天使 Angel Devil] Official MV,N/A,https://www.youtube.com/watch?v=na_xv5iFt2Y
Training,bonafide,Mandarin,Hebe_Tien,【首播】田馥甄 - [ 余波荡漾 ] - 官方MV,N/A,https://www.bilibili.com/video/BV1Es411y76h/?spm_id_from=333.788.recommend_more_video.1&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄Hebe《乘着无人光影的远行》全程音质最佳版 20230806 一一巡回演唱会台北最终场,N/A,https://www.bilibili.com/video/BV1yV4y1e7oS/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,HEBE TIEN 田馥甄 [ 渺小 INSIGNIFICANCE ] Official MV HD,N/A,https://www.youtube.com/watch?v=BClZoVLwZCE
Training,bonafide,Mandarin,Hebe_Tien,田馥甄 歌曲选集,N/A,https://www.bilibili.com/video/BV1ja4y147Wr/?spm_id_from=333.337.search-card.all.click
Training,bonafide,Mandarin,Hebe_Tien,Hebe Tien [ When you are gone ] Official Music Video,N/A,https://www.youtube.com/watch?v=LEdrjjMfe-Q
Training,bonafide,Mandarin,Hebe_Tien,田馥甄Hebe《水星记》cr:郭顶 完整版 一一巡回演唱会台北最终场！,N/A,https://www.bilibili.com/video/BV1Y44y1w7UW/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,【4K HDR/60fps】田馥甄《魔鬼中的天使》-但是想都别想我求饶,N/A,https://www.bilibili.com/video/BV19P4y1x7FZ/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,渺小,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=17
Training,bonafide,Mandarin,Hebe_Tien,灵魂伴侣,N/A,https://www.bilibili.com/video/BV1ja4y147Wr?p=10
Training,bonafide,Mandarin,Hebe_Tien,【田馥甄】如果·IF ONLY,N/A,https://www.bilibili.com/video/BV1Gs411e7mF/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,bonafide,Mandarin,Hebe_Tien,田馥甄《演员》,N/A,https://www.bilibili.com/video/BV1ts411a7m1/?spm_id_from=333.337.search-card.all.click&vd_source=6773a02315422cd9e9d1490e5baec619
Training,spoof,Mandarin,Hebe_Tien,爱了很久的朋友,unknown,https://www.bilibili.com/video/BV1ja4y147Wr?p=13
Training,spoof,Mandarin,Hebe_Tien,【AI田馥甄】《套马杆》cover.乌兰托娅,unknown,https://www.bilibili.com/video/BV1Lu411t7Rs/?spm_id_from=333.788
Training,spoof,Mandarin,Hebe_Tien,【AI田馥甄】《Lydia》cover.飞儿乐团,unknown,https://www.bilibili.com/video/BV1Mh411L7Du/?spm_id_from=333.788
Training,spoof,Mandarin,Hebe_Tien,【AI Hebe】如果让20年前的田馥甄唱《小幸运》会怎么样？,unknown,https://www.bilibili.com/video/BV1Gg4y157GM/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Hebe_Tien,【AI田馥甄】《简单爱》cover.周杰伦,unknown,https://www.bilibili.com/video/BV1ru41147FL/?spm_id_from=333.788
Training,spoof,Mandarin,Hebe_Tien,AI田馥甄《晴天》cover周杰伦,unknown,https://www.bilibili.com/video/BV1SP411q7tL/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Hebe_Tien,【AI小Hebe】《讽刺的情书》cover.田馥甄,unknown,https://www.bilibili.com/video/BV1jh4y1j7aV/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Hebe_Tien,【AI田馥甄】《岁月神偷》cover.金玟岐,unknown,https://www.bilibili.com/video/BV1wz4y1e7Eo/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Hebe_Tien,【AI田馥甄】《去有风的地方》cover.郁可唯,unknown,https://www.bilibili.com/video/BV18c411P7Tb/?spm_id_from=333.788
Training,spoof,Mandarin,Hebe_Tien,不晚,unknown,https://www.bilibili.com/video/BV1ja4y147Wr?p=3
Training,spoof,Mandarin,Hebe_Tien,AI田馥甄 清唱《我不配》cover周杰伦,unknown,https://www.bilibili.com/video/BV1Vh411K7uN/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Hebe_Tien,AI田馥甄《烟花易冷》cover周杰伦,unknown,https://www.bilibili.com/video/BV1eN411k79A/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Hebe_Tien,【AI田馥甄】《退后》~最美的爱情，回忆里待续！,unknown,https://www.bilibili.com/video/BV1vP411m73H/?spm_id_from=333.788
Training,spoof,Mandarin,Hebe_Tien,AI田馥甄《彩虹》cover 周杰伦,unknown,https://www.bilibili.com/video/BV1Zu41187oD/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Hebe_Tien,AI田馥甄《七里香》cover周杰伦,unknown,https://www.bilibili.com/video/BV1Du411Y7xx/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120
Training,spoof,Mandarin,Hebe_Tien,【AI田馥甄】《大眠》Cover.王心凌,unknown,https://www.bilibili.com/video/BV1hk4y1E7Ca/?spm_id_from=333.788
